rank,point_return_average,method,time,split,route_count,locations,weighting,manual_review
208,2.00,Water Horde,ALL,"Pelipper (2 pts, T6); Wingull (2 pts, T6)",1,Hoenn Route 108,,no
209,2.00,Land Horde,ALL,"Persian (2 pts, T6)",1,Kanto Water Path,,no
210,2.00,Land Horde,ALL,"Persian (2 pts, T6); Tangela (2 pts, T6)",1,Kanto Treasure Beach,,no
211,2.00,Land Horde,ALL,"Pidgeotto (2 pts, T6)",1,Kanto Five Isle Meadow,,no
212,2.00,Land Horde,Day/Morning,"Pidgeotto (2 pts, T6); Raticate (2 pts, T6)",1,Johto Route 39,,no
213,2.00,Land Horde,Day/Morning,"Pidgey (2 pts, T6)",2,Johto Ilex Forest; Kanto Route 24,,no
214,2.00,Land Horde,Day,"Pidgey (2 pts, T6)",1,Kanto Route 8,,no
215,2.00,Land Horde,Day/Morning,"Pidove (2 pts, T6)",1,Unova Route 3,,no
216,2.00,Land Horde,Day/Morning,"Pidove (2 pts, T6); Sewaddle (2 pts, T6); Tympole (2 pts, T6)",2,Unova Pinewheel Forest Inside; Unova Pinwheel Forest Outside,,no
217,2.00,Land Horde,ALL,"Pikachu (2 pts, T6)",2,Kanto Power Plant; Sinnoh Trophy Garden,,no
218,2.00,Land Horde,ALL,"Piloswine (2 pts, T6); Sneasel (2 pts, T6)",1,Unova Giant Chasm,,no
219,2.00,Land Horde,ALL,"Piloswine (2 pts, T6); Tangela (2 pts, T6)",1,Unova Giant Chasm,,no
220,2.00,Water Horde,ALL,"Psyduck (2 pts, T6); Shellos (2 pts, T6); Shellos East (2 pts, T6); Tentacool (2 pts, T6)",1,Sinnoh Route 205,,no
221,2.00,Water Horde,ALL,"Psyduck (2 pts, T6); Shellos (2 pts, T6); Shellos East (2 pts, T6); Wooper (2 pts, T6)",1,Sinnoh Route 212,,no
222,2.00,Water Horde,ALL,"Psyduck (2 pts, T6); Slowpoke (2 pts, T6)",3,Kanto Fuchsia City; Kanto Route 23; Kanto Route 6,,no
223,2.00,Land Horde,ALL,"Psyduck (2 pts, T6); Zubat (2 pts, T6)",1,Sinnoh Oreburgh Gate,,no
224,2.00,Water Horde,ALL,"Psyduck (2 pts, T6); Zubat (2 pts, T6)",1,Sinnoh Oreburgh Gate,,no
225,2.00,Land Horde,Night,"Psyduck (2 pts, T6); Zubat (2 pts, T6)",1,Sinnoh Route 208,,no
226,2.00,Land Horde,Night,"Purrloin (2 pts, T6)",1,Unova Route 3,,no
227,2.00,Water Horde,ALL,"Quagsire (2 pts, T6)",3,Johto Cliff Edge Gate; Johto Ruins Of Alph; Johto Union Cave,,no
228,2.00,Land Horde,ALL,"Rapidash (2 pts, T6)",2,Kanto Mt.. Ember; Unova Route 12,,no
229,2.00,Land Horde,ALL,"Rapidash (2 pts, T6); Tangela (2 pts, T6)",1,Johto Route 28,,no
230,2.00,Land Horde,Night/SEASON0,"Raticate (2 pts, T6)",1,Johto Route 39,,no
231,2.00,Land Horde,Night/SEASON1,"Raticate (2 pts, T6)",1,Johto Route 39,,no
232,2.00,Land Horde,Night/SEASON2,"Raticate (2 pts, T6)",1,Johto Route 39,,no
233,2.00,Land Horde,Day/Morning/SEASON3,"Raticate (2 pts, T6)",1,Sinnoh Route 226,,no
234,2.00,Land Horde,Night,"Rattata (2 pts, T6)",1,Johto Route 33,,no
235,2.00,Land Horde,Day/Morning,"Rattata (2 pts, T6); Spearow (2 pts, T6)",2,Kanto Route 4; Kanto Route 9,,no
236,2.00,Land Horde,Day/Morning,"Roselia (2 pts, T6)",1,Hoenn Route 117,,no
237,2.00,Land Horde,ALL,"Roselia (2 pts, T6)",1,Sinnoh Route 230,,no
238,2.00,Land Horde,ALL,"Sandslash (2 pts, T6)",1,Johto Route 26,,no
239,2.00,Water Horde,ALL,"Seaking (2 pts, T6)",1,Kanto Route 25,,no
240,2.00,Water Horde,ALL,"Sealeo (2 pts, T6)",1,Sinnoh Route 230,,no
241,2.00,Water Horde,ALL,"Seel (2 pts, T6)",1,Johto Route 47,,no
242,2.00,Water Horde,ALL,"Seel (2 pts, T6); Tentacool (2 pts, T6); Tentacruel (2 pts, T6)",1,Kanto Icefall Cave,,no
243,2.00,Water Horde,ALL,"Shellos (2 pts, T6); Shellos East (2 pts, T6); Tentacool (2 pts, T6)",1,Sinnoh Valley Windworks,,no
244,2.00,Water Horde,ALL,"Shellos (2 pts, T6); Shellos East (2 pts, T6); Tentacool (2 pts, T6); Wingull (2 pts, T6)",1,Sinnoh Route 213,,no
245,2.00,Land Horde,ALL,"Shelmet (2 pts, T6)",1,Unova Icirrus City,,no
246,2.00,Land Horde,ALL,"Skiploom (2 pts, T6)",1,Kanto Memorial Pillar,,no
247,2.00,Land Horde,ALL,"Slowbro (2 pts, T6)",1,Kanto Cape Brink,,no
248,2.00,Land Horde,ALL,"Slowpoke (2 pts, T6)",1,Johto Slowpoke Well,,no
249,2.00,Water Horde,ALL,"Slowpoke (2 pts, T6)",1,Johto Slowpoke Well,,no
250,2.00,Water Horde,ALL,"Slowpoke (2 pts, T6); Tentacruel (2 pts, T6)",1,Kanto Route 12,,no
251,2.00,Land Horde,ALL,"Smeargle (2 pts, T6)",1,Hoenn Artisan Cave,,no
252,2.00,Land Horde,Day/Morning,"Snover (2 pts, T6)",1,Sinnoh Acuity Lakefront,,no
253,2.00,Land Horde,Day/Morning,"Solrock (2 pts, T6)",1,Unova Route 13,,no
254,2.00,Land Horde,Day/Morning,"Solrock (2 pts, T6); Swellow (2 pts, T6)",1,Unova Route 13,,no
255,2.00,Water Horde,ALL,"Stunfisk (2 pts, T6)",3,Unova Icirrus City; Unova Moor Of Icirrus; Unova Route 8,,no
256,2.00,Water Horde,ALL,"Surskit (2 pts, T6)",1,Hoenn Route 123,,no
257,2.00,Water Horde,ALL,"Surskit (2 pts, T6); Wingull (2 pts, T6)",1,Sinnoh Route 229,,no
258,2.00,Land Horde,ALL,"Swadloon (2 pts, T6)",1,Unova Lostlorn Forest,,no
259,2.00,Land Horde,ALL,"Tangela (2 pts, T6)",1,Kanto Route 21,,no
260,2.00,Water Horde,ALL,"Tentacool (2 pts, T6); Tentacruel (2 pts, T6)",3,Hoenn Abandoned Ship; Kanto Bond Bridge; Kanto Route 20,,no
261,2.00,Water Horde,ALL,"Tentacool (2 pts, T6); Wingull (2 pts, T6)",4,Hoenn Route 106; Hoenn Route 109; Hoenn Route 122; Hoenn Route 134,,no
262,2.00,Water Horde,Night,"Tentacruel (2 pts, T6)",3,Kanto Five Isle Meadow; Kanto Memorial Pillar; Kanto Resort Gorgeous,,no
263,2.00,Land Horde,ALL,"Tranquill (2 pts, T6)",2,Unova Route 12; Unova Route 6,,no
264,2.00,Land Horde,ALL,"Watchog (2 pts, T6)",2,Unova Route 1; Unova Route 7,,no
265,2.00,Land Horde,ALL,"Whismur (2 pts, T6)",1,Hoenn Rusturf Tunnel,,no
266,2.00,Land Horde,ALL,"Wobbuffet (2 pts, T6)",1,Johto Dark Cave,,no
267,2.00,Water Horde,ALL,"Wooper (2 pts, T6)",2,Johto Route 32; Kanto Four Island,,no
268,2.00,Land Horde,ALL,"Zebstrika (2 pts, T6)",1,Unova Route 7,,no
269,2.00,Water Horde,ALL,"Zubat (2 pts, T6)",1,Hoenn Scorched Slab,,no
270,2.00,Water Horde,ALL,"Basculin (Red) (2 pts, T6)",12,12 routes - manual review,,yes
271,2.00,Water Horde,ALL,"Frillish (2 pts, T6)",5,5 routes - manual review,,yes
272,2.00,Water Horde,ALL,"Marill (2 pts, T6)",5,5 routes - manual review,,yes
273,2.00,Water Horde,ALL,"Pelipper (2 pts, T6)",8,8 routes - manual review,,yes
274,2.00,Water Horde,ALL,"Poliwag (2 pts, T6)",5,5 routes - manual review,,yes
275,2.00,Water Horde,ALL,"Poliwhirl (2 pts, T6)",7,7 routes - manual review,,yes
276,2.00,Water Horde,ALL,"Psyduck (2 pts, T6)",14,14 routes - manual review,,yes
277,2.00,Water Horde,ALL,"Tentacool (2 pts, T6)",29,29 routes - manual review,,yes
278,2.00,Water Horde,ALL,"Tentacruel (2 pts, T6)",17,17 routes - manual review,,yes
279,2.00,Water Horde,ALL,"Wingull (2 pts, T6)",8,8 routes - manual review,,yes
